study,scenario,grid_size,dt,dx,r,tmax_final
grid_convergence,grid_40,40,0.02,0.02564102564102564,0.024336000000000007,202.72576489936063
grid_convergence,grid_80,80,0.02,0.012658227848101266,0.09985600000000001,201.95380539998115
grid_convergence,grid_120,120,0.02,0.008403361344537815,0.22657600000000003,201.60119244428628
time_convergence,dt_0_04,80,0.04,0.012658227848101266,0.19971200000000003,202.05238000686273
time_convergence,dt_0_02,80,0.02,0.012658227848101266,0.09985600000000001,201.95380539998115
time_convergence,dt_0_01,80,0.01,0.012658227848101266,0.04992800000000001,201.90457993167712
